Year,County_Desc,Manslaughter,Rape,Robbery,Aggravated-Assault,Burglary,Larceny-Theft,Motor-Vehicle-Theft,Arson,Other-Assaults,Forgery-Counterfeiting,Fraud,Embezzlement,Stolen-Property,Vandalism,Weapons,Prostitution,Sex-Offenses,Drug-Abuse-Violations,Drug-Abuse-Violations-Possession,Gambling-Offenses,Offenses-Against-Family-Children,Driving-Under-the-Influence,Liquor-Laws,Drunkenness,Disorderly-Conduct,All-Other-Offenses-Except-Traffic,Suspicion,Curfew-Loitering-Law-Violations,Run-a-ways,Vagrancy
2016,Albany,0,0,0,0,0,7,0,0,27,0,0,2,0,5,0,0,4,0,19,0,0,1,16,0,1,18,0,0,0,0
2016,Big Horn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2016,Campbell,0,0,0,3,4,47,2,0,56,0,1,0,0,26,0,0,3,1,69,0,3,3,41,5,34,166,0,0,8,0
2016,Carbon,0,1,0,1,0,12,6,2,13,0,0,0,0,7,0,2,3,9,12,0,0,3,7,2,7,25,0,8,1,0
2016,Converse,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,5,0,0,1,2,0,0,3,0,0,0,0
2016,Crook,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,17,0,0,0,0
2016,Fremont,0,0,0,0,5,47,5,0,20,0,1,0,0,15,0,0,0,0,46,0,2,0,80,0,7,32,0,2,5,0
2016,Goshen,0,0,0,0,0,2,0,0,5,0,0,0,1,3,0,0,0,5,3,0,0,2,14,0,0,13,0,0,0,0
2016,Hot Springs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0
2016,Johnson,0,1,0,1,0,2,1,0,3,0,0,0,0,1,0,0,0,0,4,0,1,0,19,0,0,23,0,0,0,0
2016,Laramie,0,0,3,3,1,89,3,0,112,0,0,0,0,29,31,0,0,2,106,0,0,3,73,1,36,106,0,38,30,0
2016,Lincoln,0,0,0,2,0,9,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,6,2,2,3,0,1,0,0
2016,Natrona,0,0,0,0,17,131,2,2,68,0,0,0,0,24,0,0,5,7,151,0,5,0,105,4,0,155,0,39,8,0
2016,Park,0,0,0,0,0,22,0,0,10,0,0,0,0,4,0,0,0,0,14,0,0,0,12,0,9,55,0,1,0,0
2016,Platte,0,0,0,1,6,4,0,0,5,0,0,0,0,5,0,0,0,0,4,0,0,1,1,0,0,12,0,0,0,0
2016,Sheridan,0,0,0,4,9,25,2,0,13,0,0,0,1,15,0,0,0,0,24,0,1,2,44,0,5,51,0,18,13,0
2016,Sublette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0
2016,Sweetwater,0,0,0,3,2,64,2,4,72,1,0,0,1,17,0,0,0,0,21,0,0,2,24,1,14,31,3,18,10,0
2016,Teton,0,0,0,0,0,3,1,1,2,0,0,0,0,1,0,0,0,0,2,0,0,1,3,0,0,9,0,0,1,0
2016,Uinta,0,0,0,0,2,11,0,0,8,0,0,0,0,2,0,0,0,0,8,0,0,2,7,1,4,42,0,30,1,0
2016,Washakie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,4,0,0,3,0,0,0,0
2016,Weston,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,3,0,0,1,2,0,1,1,0
2017,Albany,0,0,1,1,2,19,2,0,36,0,1,0,4,11,1,0,4,17,17,0,0,0,20,0,3,17,0,0,0,0
2017,Big Horn,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0
2017,Campbell,0,1,0,5,1,30,1,1,40,1,1,0,0,42,1,0,1,90,87,0,0,2,54,5,34,164,0,0,0,0
2017,Carbon,0,0,0,0,0,14,4,0,34,0,0,0,0,6,1,0,0,24,21,0,1,1,1,0,0,17,0,0,0,0
2017,Converse,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,2,0,0,2,0,0,0,2,0,0,0,0
2017,Crook,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,6,0,0,0,0
2017,Fremont,0,0,0,1,0,46,3,0,21,0,0,0,0,8,0,0,0,47,47,0,0,3,68,0,5,45,0,10,0,0
2017,Goshen,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,2,4,0,1,1,0,0,0,0
2017,Hot Springs,0,0,0,1,0,7,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,10,0,0,0,0
